transaction_id,items,basket_size
0,"['tropical_fruit', 'yogurt', 'coffee']",3
2,"['pip_fruit', 'yogurt', 'cream_cheese', 'meat_spreads']",4
3,"['other_vegetables', 'whole_milk', 'condensed_milk', 'long_life_bakery_product']",4
6,"['whole_milk', 'cereals']",2
8,"['frankfurter', 'rolls/buns', 'soda']",3
9,"['chicken', 'tropical_fruit']",2
10,"['butter', 'sugar', 'fruit/vegetable_juice', 'newspapers']",4
16,"['butter_milk', 'pastry']",2
20,"['yogurt', 'beverages', 'bottled_water', 'specialty_bar']",4
21,"['beef', 'grapes', 'detergent']",3
22,"['pastry', 'soda']",2
24,"['root_vegetables', 'other_vegetables', 'whole_milk', 'dessert']",4
25,"['citrus_fruit', 'zwieback', 'newspapers']",3
26,"['berries', 'yogurt']",2
28,"['pastry', 'bottled_water']",2
31,"['whole_milk', 'curd', 'yogurt', 'pastry']",4
32,"['rolls/buns', 'pastry', 'sugar']",3
33,"['rolls/buns', 'pastry', 'soda']",3
35,"['curd_cheese', 'coffee']",2
36,"['whole_milk', 'meat_spreads', 'soda']",3
38,"['other_vegetables', 'whole_milk', 'rolls/buns', 'sugar']",4
39,"['frozen_meals', 'coffee']",2
41,"['root_vegetables', 'onions', 'hard_cheese', 'frozen_vegetables']",4
43,"['coffee', 'newspapers']",2
44,"['berries', 'yogurt']",2
47,"['fruit/vegetable_juice', 'salty_snack', 'candles']",3
48,"['citrus_fruit', 'butter_milk', 'yogurt', 'cream_cheese']",4
50,"['grapes', 'photo/film']",2
51,"['whole_milk', 'yogurt', 'brown_bread']",3
52,"['citrus_fruit', 'tropical_fruit']",2
53,"['soda', 'misc._beverages']",2
54,"['frankfurter', 'rolls/buns', 'bottled_water']",3
56,"['rolls/buns', 'fruit/vegetable_juice']",2
58,"['tropical_fruit', 'pip_fruit']",2
59,"['packaged_fruit/vegetables', 'bottled_water']",2
60,"['berries', 'whipped/sour_cream']",2
61,"['citrus_fruit', 'berries', 'uht-milk', 'processed_cheese']",4
62,"['tropical_fruit', 'whole_milk', 'yogurt']",3
63,"['whole_milk', 'cream_cheese', 'soda']",3
64,"['pastry', 'soda']",2
68,"['frankfurter', 'dessert']",2
70,"['berries', 'soda']",2
71,"['tropical_fruit', 'other_vegetables', 'coffee']",3
73,"['rolls/buns', 'instant_food_products']",2
74,"['whole_milk', 'frozen_vegetables']",2
76,"['frankfurter', 'rolls/buns']",2
77,"['pasta', 'popcorn']",2
79,"['coffee', 'shopping_bags']",2
81,"['whole_milk', 'butter', 'dessert', 'rolls/buns']",4
82,"['frankfurter', 'soda', 'chewing_gum']",3
83,"['tropical_fruit', 'specialty_cheese', 'bottled_water']",3
84,"['beverages', 'soda']",2
85,"['whole_milk', 'pastry', 'long_life_bakery_product']",3
88,"['whole_milk', 'cream_cheese', 'cereals', 'dog_food']",4
89,"['whole_milk', 'salt']",2
90,"['dessert', 'ice_cream']",2
91,"['other_vegetables', 'ice_cream']",2
