transaction_id,items,basket_size,basket_total
0,"['tropical_fruit', 'yogurt', 'coffee']",3,27.009596401178655
2,"['pip_fruit', 'yogurt', 'cream_cheese', 'meat_spreads']",4,30.743368153868573
3,"['other_vegetables', 'whole_milk', 'condensed_milk', 'long_life_bakery_product']",4,42.24093419220393
6,"['whole_milk', 'cereals']",2,16.459715566590184
8,"['frankfurter', 'rolls/buns', 'soda']",3,21.030958524928742
9,"['chicken', 'tropical_fruit']",2,14.080010377856883
10,"['butter', 'sugar', 'fruit/vegetable_juice', 'newspapers']",4,28.96332819913841
16,"['butter_milk', 'pastry']",2,15.470985294725907
20,"['yogurt', 'beverages', 'bottled_water', 'specialty_bar']",4,25.418931859665427
21,"['beef', 'grapes', 'detergent']",3,15.408877917754378
22,"['pastry', 'soda']",2,15.8089339657716
24,"['root_vegetables', 'other_vegetables', 'whole_milk', 'dessert']",4,26.20948327477529
25,"['citrus_fruit', 'zwieback', 'newspapers']",3,29.82451103295478
26,"['berries', 'yogurt']",2,13.454095253149205
28,"['pastry', 'bottled_water']",2,11.863740675583134
31,"['whole_milk', 'curd', 'yogurt', 'pastry']",4,22.99036381525145
32,"['rolls/buns', 'pastry', 'sugar']",3,15.164160443717435
33,"['rolls/buns', 'pastry', 'soda']",3,17.674505510142517
35,"['curd_cheese', 'coffee']",2,26.067393584964016
36,"['whole_milk', 'meat_spreads', 'soda']",3,23.10061247968142
38,"['other_vegetables', 'whole_milk', 'rolls/buns', 'sugar']",4,24.098254829753365
39,"['frozen_meals', 'coffee']",2,23.27883293880747
41,"['root_vegetables', 'onions', 'hard_cheese', 'frozen_vegetables']",4,27.980220279166044
43,"['coffee', 'newspapers']",2,22.79132349190127
44,"['berries', 'yogurt']",2,13.454095253149205
47,"['fruit/vegetable_juice', 'salty_snack', 'candles']",3,19.73667367192169
48,"['citrus_fruit', 'butter_milk', 'yogurt', 'cream_cheese']",4,28.254435642807604
50,"['grapes', 'photo/film']",2,6.135866570868513
51,"['whole_milk', 'yogurt', 'brown_bread']",3,22.251182274816394
52,"['citrus_fruit', 'tropical_fruit']",2,24.223014697953907
53,"['soda', 'misc._beverages']",2,12.908081091925087
54,"['frankfurter', 'rolls/buns', 'bottled_water']",3,17.08576523474028
56,"['rolls/buns', 'fruit/vegetable_juice']",2,7.7421428957433465
58,"['tropical_fruit', 'pip_fruit']",2,24.672032542776513
59,"['packaged_fruit/vegetables', 'bottled_water']",2,17.260353602158254
60,"['berries', 'whipped/sour_cream']",2,14.566410209177818
61,"['citrus_fruit', 'berries', 'uht-milk', 'processed_cheese']",4,37.24475311016651
62,"['tropical_fruit', 'whole_milk', 'yogurt']",3,22.381061546345492
63,"['whole_milk', 'cream_cheese', 'soda']",3,19.16050823048635
64,"['pastry', 'soda']",2,15.8089339657716
68,"['frankfurter', 'dessert']",2,19.206491690015046
70,"['berries', 'soda']",2,16.926588341311934
71,"['tropical_fruit', 'other_vegetables', 'coffee']",3,33.826471356660164
73,"['rolls/buns', 'instant_food_products']",2,10.561495088348156
74,"['whole_milk', 'frozen_vegetables']",2,14.018016121710687
76,"['frankfurter', 'rolls/buns']",2,13.763503970886749
77,"['pasta', 'popcorn']",2,19.753358813299247
79,"['coffee', 'shopping_bags']",2,21.632609651822385
81,"['whole_milk', 'butter', 'dessert', 'rolls/buns']",4,23.068464283760616
82,"['frankfurter', 'soda', 'chewing_gum']",3,19.994712040998802
83,"['tropical_fruit', 'specialty_cheese', 'bottled_water']",3,26.01883455156353
84,"['beverages', 'soda']",2,13.139120291547595
85,"['whole_milk', 'pastry', 'long_life_bakery_product']",3,29.958274259676358
88,"['whole_milk', 'cream_cheese', 'cereals', 'dog_food']",4,23.87289369399412
89,"['whole_milk', 'salt']",2,17.588635366486617
90,"['dessert', 'ice_cream']",2,19.87632638372963
91,"['other_vegetables', 'ice_cream']",2,23.17960354159119
92,"['other_vegetables', 'bottled_water']",2,13.934097685214306
93,"['herbs', 'candy']",2,13.643519514359287
97,"['frankfurter', 'rolls/buns']",2,13.763503970886749
100,"['curd', 'rolls/buns']",2,5.655757105608737
101,"['whole_milk', 'bottled_water', 'newspapers']",3,21.485049900921638
102,"['rolls/buns', 'chewing_gum']",2,2.694896604811895
103,"['citrus_fruit', 'pastry']",2,21.042131405622044
105,"['rolls/buns', 'pastry', 'soda']",3,17.674505510142517
106,"['condensed_milk', 'sugar', 'coffee', 'shopping_bags']",4,36.6020220623357
107,"['whole_milk', 'beverages', 'uht-milk', 'soda']",4,24.683615174940897
109,"['beverages', 'specialty_bar']",2,18.301709129932632
110,"['bottled_water', 'fruit/vegetable_juice']",2,9.198832615225959
112,"['cleaner', 'female_sanitary_products']",2,15.365604133189734
114,"['misc._beverages', 'newspapers']",2,16.93967779854644
115,"['whole_milk', 'mustard', 'bottled_water']",3,14.633501287013095
116,"['meat', 'other_vegetables', 'butter', 'rolls/buns']",4,32.08183790805606
117,"['whole_milk', 'whipped/sour_cream', 'semi-finished_bread', 'margarine']",4,26.519858068080868
118,"['citrus_fruit', 'whole_milk', 'rolls/buns']",3,21.229960914668116
